,title,link,content
2393,"현대차, 아마추어 동호회 레이싱팀 ‘팀 HMC’ 5년 연속 후원",https://www.etoday.co.kr/news/view/2023926,이투데이=유창욱 기자 | 모터스포츠 대회 ‘2021 현대 N 페스티벌’ 참가해 드라이빙 실력 뽐낼 예정 현대차가 5년 연속으로 아마추어 레이싱팀 ‘팀(TEAM) HMC’을 후원한다. (사진제공=현대차) 현대자동차가 5년...
2394,현대차 1분기 영업익 1.6조 돌파···기저효과에 전년보다 91.8%↑,https://www.sedaily.com/NewsView/22L6N0ALZG,"22일 현대차(005380)는 올해 1분기 영업이익이 전년 동기보다 91.8% 증가한 1조6,566억원으로 집계됐다고... 현대차는 향후 경영환경과 관련, ""주요 국가들의 경기부양 정책 확대와 기저 효과로 수요 회복이 나타나고..."
2395,"현대차 ""차박 체험 플랫폼 ‘휠핑’ 이용해보세요""",https://www.ekn.kr/web/view.php?key=20210514010002804,"현대차는 이번 ‘휠핑’ 서비스를 이용하는 고객 전원에게 오뚜기 간편식, 간편양념 및 에코백, 손소독제 등으로 구성된 웰컴 키트를 제공한다. 현대차 관계자는 ""차량 및 차박용품을 한 번에 예약하고 원하는 일정에..."
2396,"'보조금 놓칠라'…현대차, 아이오닉5 출고 안간힘",http://www.newsis.com/view/?id=NISX20210520_0001446840&cID=13001&pID=13000,현대차는 전국 지방자치단체 보조금이 소진돼가고 있는 상황에서 차량용 반도체 부족으로 생산에 어려움을... 20일 업계에 따르면 현대차는 최근 아이오닉5 옵션을 바꿀 수 있는 2차 계약변경을 진행했다. 예약자들이...
2397,'반도체 부족' 현대차 아산공장도 멈춘다...12~13일 가동중단,http://www.fnnews.com/news/202104091431388279,현대차가 차량용 반도체 부족으로 울산1공장에 이어 아산공장의 가동을 중단한다. 9일 현대차는 PCU(파워트레인 컨트롤 유닛) 부품의 차량용 반도체 수급 차질로 인해12일부터 13일까지 아산공장 가동중단하기로 했다고...
2398,"현대차 체코공장, '체코 국가 품질상' 최우수상 4회 연속 수상",http://www.newsworks.co.kr/news/articleView.html?idxno=549589,현대차는 19일(현지시간) 체코 산업통상부 청사에서 열린 '2020 체코 국가 품질상' 시상식에서 현대자동차... 백철승 현대차 체코생산법인장 등 관계자들이 참석한 가운데 온라인 현장 생중계로 진행됐다....
2399,"현대차, 전기차 충전대행서비스 '픽업앤충전' 론칭",https://biz.sbs.co.kr/article_hub/20000014774?division=NAVER,"현대차는 서울 전 지역에서 아이오닉5, 코나 일레트릭, 아이오닉 일레트릭(2017년식 이후 DC콤보 타입)... 예약은 현대차의 통합 고객 서비스 앱(응용프로그램) ‘마이현대’를 통해 가능하며 픽업 비용은 2만 원, 충전..."
2400,"현대차, 첫 여성 사외이사 선임한다…기업 이사회에 女風 부나(종합)",http://yna.kr/AKR20210223140651003?did=1195m,기아·현대모비스 등 현대차그룹 주요 계열사 첫 女사외이사 선임 추진 SK·LG·한화 등도 여성 사외이사 확대할 듯 장하나 김영신 기자 = 현대차를 비롯한 현대차그룹 주요 상장 계열사가 사상 처음으로 여성 사외이사...
2401,"[급등왕의 '급등맥 필살기'] 현대차, 4거래일 만에 반등! 현 시점 전략은?",https://news.mtn.co.kr/newscenter/news_viewer.mtn?gidx=2021052815213152479,"79% (최고가 기준) ▶급등왕의 '급등맥 필살기' - 자동차 도어시스템 시장 점유율 1위 - 올해 1분기 영업익 82억원… 전년비 +520% 증가 - 현대차그룹, 美시장 대규모 투자 수혜주 - 매수가 현재가 / 목표가 13,000원..."
2402,"현대코퍼레이션, 현대차 1차 협력사 인수전 참여...'제조업 기반 강화'",http://news.mt.co.kr/mtview.php?no=2021051817193644150,"현대코퍼레이션은 18일 현대차 1차 협력사인 (주)신기인터모빌 인수를 위한 우선협상대산자로 선정됐다고... 1987년 현대차 협력업체로 등록된 이후 33년간 콘솔박스, 엔진커버, 휠가드, 내장트림 등 고기능 경량화 플라스틱..."
