,date,close,diff,diff_rate,volume, int_dff,frgn_dff,frgn_share,frgn_rate
86,2021.06.16,"81,800",900,+1.11%,"14,999,855","-93,825","+2,800,637","3,214,255,737",53.84%
87,2021.06.15,"80,900",400,+0.50%,"10,075,685","-859,171","+440,212","3,211,443,684",53.79%
88,2021.06.18,"80,500",400,-0.49%,"14,618,173","+540,319","-5,587,396","3,207,365,927",53.73%
89,2021.06.17,"80,900",900,-1.10%,"14,007,385","-2,150,058","-2,211,331","3,212,953,323",53.82%
90,2021.06.16,"81,800",900,+1.11%,"14,999,855","-93,825","+2,800,637","3,214,255,737",53.84%
91,2021.06.15,"80,900",400,+0.50%,"10,075,685","-859,171","+440,212","3,211,443,684",53.79%
92,2021.06.18,"80,500",400,-0.49%,"14,618,173","+540,319","-5,587,396","3,207,365,927",53.73%
93,2021.06.17,"80,900",900,-1.10%,"14,007,385","-2,150,058","-2,211,331","3,212,953,323",53.82%
94,2021.06.16,"81,800",900,+1.11%,"14,999,855","-93,825","+2,800,637","3,214,255,737",53.84%
95,2021.06.15,"80,900",400,+0.50%,"10,075,685","-859,171","+440,212","3,211,443,684",53.79%
96,2021.06.18,"80,500",400,-0.49%,"14,618,173","+540,319","-5,587,396","3,207,365,927",53.73%
97,2021.06.17,"80,900",900,-1.10%,"14,007,385","-2,150,058","-2,211,331","3,212,953,323",53.82%
98,2021.06.16,"81,800",900,+1.11%,"14,999,855","-93,825","+2,800,637","3,214,255,737",53.84%
99,2021.06.15,"80,900",400,+0.50%,"10,075,685","-859,171","+440,212","3,211,443,684",53.79%
100,2021.06.18,"80,500",400,-0.49%,"14,618,173","+540,319","-5,587,396","3,207,365,927",53.73%
101,2021.06.17,"80,900",900,-1.10%,"14,007,385","-2,150,058","-2,211,331","3,212,953,323",53.82%
102,2021.06.16,"81,800",900,+1.11%,"14,999,855","-93,825","+2,800,637","3,214,255,737",53.84%
103,2021.06.15,"80,900",400,+0.50%,"10,075,685","-859,171","+440,212","3,211,443,684",53.79%
104,2021.06.18,"80,500",400,-0.49%,"14,618,173","+540,319","-5,587,396","3,207,365,927",53.73%
105,2021.06.17,"80,900",900,-1.10%,"14,007,385","-2,150,058","-2,211,331","3,212,953,323",53.82%
106,2021.06.16,"81,800",900,+1.11%,"14,999,855","-93,825","+2,800,637","3,214,255,737",53.84%
107,2021.06.15,"80,900",400,+0.50%,"10,075,685","-859,171","+440,212","3,211,443,684",53.79%
108,2021.06.18,"80,500",400,-0.49%,"14,618,173","+540,319","-5,587,396","3,207,365,927",53.73%
109,2021.06.17,"80,900",900,-1.10%,"14,007,385","-2,150,058","-2,211,331","3,212,953,323",53.82%
110,2021.06.16,"81,800",900,+1.11%,"14,999,855","-93,825","+2,800,637","3,214,255,737",53.84%
111,2021.06.15,"80,900",400,+0.50%,"10,075,685","-859,171","+440,212","3,211,443,684",53.79%
112,2021.06.18,"80,500",400,-0.49%,"14,618,173","+540,319","-5,587,396","3,207,365,927",53.73%
113,2021.06.17,"80,900",900,-1.10%,"14,007,385","-2,150,058","-2,211,331","3,212,953,323",53.82%
114,2021.06.16,"81,800",900,+1.11%,"14,999,855","-93,825","+2,800,637","3,214,255,737",53.84%
115,2021.06.15,"80,900",400,+0.50%,"10,075,685","-859,171","+440,212","3,211,443,684",53.79%
116,2021.06.18,"80,500",400,-0.49%,"14,618,173","+540,319","-5,587,396","3,207,365,927",53.73%
117,2021.06.17,"80,900",900,-1.10%,"14,007,385","-2,150,058","-2,211,331","3,212,953,323",53.82%
118,2021.06.16,"81,800",900,+1.11%,"14,999,855","-93,825","+2,800,637","3,214,255,737",53.84%
119,2021.06.15,"80,900",400,+0.50%,"10,075,685","-859,171","+440,212","3,211,443,684",53.79%
120,2021.06.18,"80,500",400,-0.49%,"14,618,173","+540,319","-5,587,396","3,207,365,927",53.73%
121,2021.06.17,"80,900",900,-1.10%,"14,007,385","-2,150,058","-2,211,331","3,212,953,323",53.82%
122,2021.06.16,"81,800",900,+1.11%,"14,999,855","-93,825","+2,800,637","3,214,255,737",53.84%
123,2021.06.15,"80,900",400,+0.50%,"10,075,685","-859,171","+440,212","3,211,443,684",53.79%
124,2021.06.18,"80,500",400,-0.49%,"14,618,173","+540,319","-5,587,396","3,207,365,927",53.73%
125,2021.06.17,"80,900",900,-1.10%,"14,007,385","-2,150,058","-2,211,331","3,212,953,323",53.82%
126,2021.06.16,"81,800",900,+1.11%,"14,999,855","-93,825","+2,800,637","3,214,255,737",53.84%
127,2021.06.15,"80,900",400,+0.50%,"10,075,685","-859,171","+440,212","3,211,443,684",53.79%
128,2021.06.18,"80,500",400,-0.49%,"14,618,173","+540,319","-5,587,396","3,207,365,927",53.73%
129,2021.06.17,"80,900",900,-1.10%,"14,007,385","-2,150,058","-2,211,331","3,212,953,323",53.82%
130,2021.06.16,"81,800",900,+1.11%,"14,999,855","-93,825","+2,800,637","3,214,255,737",53.84%
131,2021.06.15,"80,900",400,+0.50%,"10,075,685","-859,171","+440,212","3,211,443,684",53.79%
132,2021.06.18,"80,500",400,-0.49%,"14,618,173","+540,319","-5,587,396","3,207,365,927",53.73%
133,2021.06.17,"80,900",900,-1.10%,"14,007,385","-2,150,058","-2,211,331","3,212,953,323",53.82%
134,2021.06.16,"81,800",900,+1.11%,"14,999,855","-93,825","+2,800,637","3,214,255,737",53.84%
135,2021.06.15,"80,900",400,+0.50%,"10,075,685","-859,171","+440,212","3,211,443,684",53.79%
136,2021.06.18,"80,500",400,-0.49%,"14,618,173","+540,319","-5,587,396","3,207,365,927",53.73%
137,2021.06.17,"80,900",900,-1.10%,"14,007,385","-2,150,058","-2,211,331","3,212,953,323",53.82%
138,2021.06.16,"81,800",900,+1.11%,"14,999,855","-93,825","+2,800,637","3,214,255,737",53.84%
139,2021.06.15,"80,900",400,+0.50%,"10,075,685","-859,171","+440,212","3,211,443,684",53.79%
140,2021.06.18,"80,500",400,-0.49%,"14,618,173","+540,319","-5,587,396","3,207,365,927",53.73%
141,2021.06.17,"80,900",900,-1.10%,"14,007,385","-2,150,058","-2,211,331","3,212,953,323",53.82%
