,0,1,2,3,4,5
0,96770,2021-06-03,48.54545454545455,267000,272500,548823
1,96770,2021-06-02,88.0,264000,267000,513622
2,96770,2021-06-01,265.0,265000,264000,563379
3,96770,2021-05-31,30.444444444444443,274000,265000,1016832
4,96770,2021-05-28,92.33333333333333,277000,274000,689307
5,96770,2021-05-27,78.14285714285714,273500,277000,1967963
