,lastBuildDate,total,start,display,items
10,"Sat, 05 Jun 2021 20:46:22 +0900",1234428,1,100,"{'title': '창설 60주년, 산업보안 강화하는 국정원··· 문 대통령 “이름없는 별들의 ...', 'originallink': 'http://www.ddaily.co.kr/news/article.html?no=215576', 'link': 'https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=105&oid=138&aid=0002104589', 'description': '국정원은 삼성, SK, LG, <b>현대차</b>, 포스코 등 주요 대기업들 대다수가 참여하는 한국산업보안한림원(이하 한림원) 설립을 주도했다. 국가 핵심기술을 가진 기업을 대상으로 해킹 및 산업스파이 활동이 활발해짐에 따라 기업... ', 'pubDate': 'Sat, 05 Jun 2021 11:17:00 +0900'}"
11,"Sat, 05 Jun 2021 20:46:22 +0900",1234428,1,100,"{'title': '테슬라 모델Y, <b>현대차</b> 아이오닉5 누르고 국내 전기차 판매 1위', 'originallink': 'http://thepublic.kr/news/newsview.php?ncode=1065589506333476', 'link': 'http://thepublic.kr/news/newsview.php?ncode=1065589506333476', 'description': '테슬라는 5월 본격 출시 첫 달에 국내 전기차 판매에서 <b>현대차</b> 아이오닉5을 누르고 1위를 차지했다. 더불어... ▲ <b>현대차</b> 아이오닉5 전기차 아이오닉5는 이미 출시 전 4만 대가 계약되는 등 출발이 좋았다. 국내외 반응이... ', 'pubDate': 'Sat, 05 Jun 2021 11:06:00 +0900'}"
12,"Sat, 05 Jun 2021 20:46:22 +0900",1234428,1,100,"{'title': '기아 국내서도 ‘쾌속질주’…연간 최대 판매 부푼꿈 [TNA]', 'originallink': 'http://news.heraldcorp.com/view.php?ud=20210604000831', 'link': 'https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=016&aid=0001844526', 'description': '<b>현대차</b>와 기아가 국내 완성차 시장을 양분하는 가운데 1만대 클럽 5차종 중 3차종이 기아라는 점도 우월한 시장 지배력을 보여주는 대목이다. 5월 기준 차종별로는 쏘렌토가 1만4019대로 가장 많은 판매 대수를... ', 'pubDate': 'Sat, 05 Jun 2021 11:02:00 +0900'}"
13,"Sat, 05 Jun 2021 20:46:22 +0900",1234428,1,100,"{'title': '코스피, 6거래일 만에 하락… 개인·외국인 순매수로 3240선 유지', 'originallink': 'http://www.newscj.com/news/articleView.html?idxno=867203', 'link': 'http://www.newscj.com/news/articleView.html?idxno=867203', 'description': '시가총액 상위 종목 가운데에는 삼성바이오로직스(1.94%)와 <b>현대차</b>(1.26%) 등이 상승했고, 삼성전자(-0.72%)와 SK하이닉스(-0.39%), 네이버(-1.38%), LG화학(-0.37%) 등은 하락했다. 코스닥지수는 0.03포인트(0.00%) 내린 990.... ', 'pubDate': 'Sat, 05 Jun 2021 10:38:00 +0900'}"
14,"Sat, 05 Jun 2021 20:46:22 +0900",1234428,1,100,"{'title': '[진단] 산은의 HMM CB 일시상환을 포함한 모든 선택 존중돼야', 'originallink': 'http://www.greened.kr/news/articleView.html?idxno=290009', 'link': 'http://www.greened.kr/news/articleView.html?idxno=290009', 'description': ""◇민영화에도 함정은 있다...'해운재건 5개년 계획'은 진행형 시장과 언론은 가장 유력한 가설로 CB를 주식으로 전환해 포스코, <b>현대차</b>, CJ 등 민간기업에 매각하는 방안을 거론하고 있다. 하지만, 여기에는 몇 가지... "", 'pubDate': 'Sat, 05 Jun 2021 10:34:00 +0900'}"
15,"Sat, 05 Jun 2021 20:46:22 +0900",1234428,1,100,"{'title': '[이번주 추천주]삼성전자, <b>현대차</b>, 한미반도체 등 자동차·IT 관련주', 'originallink': 'http://www.fnnews.com/news/202106051003035792', 'link': 'https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=014&aid=0004651673', 'description': '이번주 증권가는 삼성전자, <b>현대차</b>, 인지컨트롤스와 한미반도체 등을 추천주로 꼽았다. 삼성증권은 5일 삼성전자, <b>현대차</b>, 기아 등을 추천했다. <b>현대차</b>그룹은 미국 시장에서 사상 최대 점유율을 기록하며 하반기... ', 'pubDate': 'Sat, 05 Jun 2021 10:09:00 +0900'}"
16,"Sat, 05 Jun 2021 20:46:22 +0900",1234428,1,100,"{'title': ""기아, 최초 전용전기차 'EV6' 실차 공개…디자인·성능 다 잡아"", 'originallink': 'http://www.newsis.com/view/?id=NISX20210604_0001465689&cID=13001&pID=13000', 'link': 'https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=003&aid=0010535003', 'description': ""EV6는 <b>현대차</b> '아이오닉5'에 이어 <b>현대차</b>그룹의 전기차 전용 플랫폼 E-GMP를 적용한 두 번째 모델이자 기아의 첫 전용 전기차다. 롱레인지 기준 주행거리 450㎞ 이상, GT 기준 제로백 3.5초로, 아이오닉5에 비해 우수한... "", 'pubDate': 'Sat, 05 Jun 2021 09:53:00 +0900'}"
17,"Sat, 05 Jun 2021 20:46:22 +0900",1234428,1,100,"{'title': '기아 EV6, 전기차 시대 트랜드 리더 기대감 UP', 'originallink': 'http://www.mediapen.com/news/view/634248', 'link': 'http://www.mediapen.com/news/view/634248', 'description': ""이미 E-GMP를 베이스로 한 차는 <b>현대차</b> '아이오닉5'를 경험했기 때문에 EV6에 대한 기대감은 크지 않았다. 하지만 EV6는 아이오닉5와 전혀 다른 모습의 경쟁모델이었다. EV6는 <b>현대차</b>그룹의 전기차 전용 플랫폼 'E-GMP'를... "", 'pubDate': 'Sat, 05 Jun 2021 09:40:00 +0900'}"
18,"Sat, 05 Jun 2021 20:46:22 +0900",1234428,1,100,"{'title': '코스피, 기관 팔자에 약보합 마감…기아 삼성바이오로직스, <b>현대차</b>, 셀트리온...', 'originallink': 'http://www.econonews.co.kr/news/articleView.html?idxno=202277', 'link': 'http://www.econonews.co.kr/news/articleView.html?idxno=202277', 'description': '기아(2.30%) 삼성바이오로직스(1.94%), <b>현대차</b>(1.26%), 셀트리온(0.19%), 삼성SDI(0.16%) 등은 상승했다. 반면 카카오(-1.98%), 네이버(-1.38%), 삼성전자(-0.72%), SK하이닉스(-0.39%), LG화학(-0.37%) 등은 내렸다. 앞서 미국... ', 'pubDate': 'Sat, 05 Jun 2021 09:38:00 +0900'}"
19,"Sat, 05 Jun 2021 20:46:22 +0900",1234428,1,100,"{'title': ""[레알시승기]584마력, 스포츠카 스타일 '기아 EV6' 실물공개"", 'originallink': 'https://www.nocutnews.co.kr/news/5565325', 'link': 'https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=103&oid=079&aid=0003512284', 'description': ""E-GMP 플랫폼을 공유하며, 먼저 출시된 형제 모델인 <b>현대차</b> 아이오닉5가 기대보다 더 큰 외양과 공간감을 자랑했다면 EV6는 다른 의미에서 반전이 있었다. 스포티한 디자인은 기아의 새로운 디자인 철학인 '오퍼짓... "", 'pubDate': 'Sat, 05 Jun 2021 09:02:00 +0900'}"
